Recipient.Organization,recipientcodename,year
International Organization for Community Development and Humanitarian Support,NGOs,
Afkar Foundation,NGOs,
Marsa Sexual Health Center,NGOs,
Sustainable International Medical Relief Organization,NGOs,
Asian Harm Reduction Network,NGOs,
Rahma International Society,NGOs,
Pompiers de l'urgence Internationale,NGOs,
Pro Familia Switzerland,NGOs,
Invisible Children,NGOs,
World Vision Afghanistan,NGOs,
Nonviolence International,NGOs,
Afghan Women's Educational Center,NGOs,
Welfare Association for the Development of Afghanistan,NGOs,
ActionAid International Zimbabwe,NGOs,
Muhammadiyah Disaster Management Center,NGOs,
Central Board of Nahdlatul Ulama,NGOs,
Age International,NGOs,
Saferworld,NGOs,
A Call to Serve International,NGOs,
Alshrooq Organisation for Social and Cultural Development,NGOs,
Help a Child International (Red een Kind),NGOs,
Mukti Cox's Bazar,NGOs,
Nepal Development Society (NEDS),NGOs,
Horan Islamic Society,NGOs,
Al-Khair Foundation (AKF),NGOs,
Islamic Relief Worldwide | Almassar Charity organization for Nomads Development and Environmental Conservation,NGOs,
White Hand Organization for Development,NGOs,
Ujamaa na Watoto Wenye Haki Initiative,NGOs,
Commission Nationale des Droits de lHomme de Mauritanie,NGOs,
Big Heart Foundation,NGOs,
COAST Trust,NGOs,
WATAN Foundation,NGOs,
Mine Clearance and Planning Agency | HALO Trust,NGOs,
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs,
Caritas Centrafricaine - Bouar,NGOs,
UK-Med,NGOs,
Femmes Unies contre la Malnutrition - Kundji Fondo,NGOs,
Learning Through Skills Acquisition Initiative,NGOs,
Food Agriculture and Disaster Management,NGOs,
Caritas Australia,NGOs,
Humanitarian Aid for Development,NGOs,
Zireenza Support Foundation,NGOs,
Associazione per la cooperazione internazionale e l'aiuto umanitario,NGOs,
Syrian Association for Relief and Development,NGOs,
South Sudan Grassroot Initiative for Development,NGOs,
Sudan Evangelical Mission,NGOs,
Netherlands Development Organisation,NGOs,
Global Aid Network,NGOs,
Children Cancer Centre of Lebanon,NGOs,
Pharmaciens Sans Frontieres - Comite International,NGOs,
Africa Development Initiative,NGOs,
Afrique Secours Assistance,NGOs,
Espérance,NGOs,
Agir en Centrafrique,NGOs,
Kode ti kwa,NGOs,
Seeds of Hope (Bozzor Alamal),NGOs,
World Vision Zambia,NGOs,
Zakat Fund,NGOs,
GOALPrime Organization Nigeria,NGOs,
CPH - Comité Protos Haïti,NGOs,
Plan Haiti,NGOs,
Great Commission Operation Mercy,NGOs,
King Hussein Cancer Foundation,NGOs,
Charitable Heart Foundation,NGOs,
AlSham Assocation,NGOs,
Lebanese Association for Rehabilitation and Development,NGOs,
Arab Organization for Human Rights,NGOs,
SPARK,NGOs,
International Academy for Leadership and Development (IALD),NGOs,
Benadir Charity Council,NGOs,
Communita Impegno Servizio Volontariato,NGOs,
"Yemen General Union of Sociologists, Social Workers and Psychologists",NGOs,
Yemen Alkhair For Relief and Development Foundation,NGOs,
Health and Education Association for Development,NGOs,
Fathurahman Charitable Association,NGOs,
Al Diaa Humanitarian Association,NGOs,
Faisal Educational Society,NGOs,
Guidance Educational And Welfare Society,NGOs,
Jamia Islamia Ishaatul Uloom,NGOs,
Khanpur Azad Gram Unnayan Samity,NGOs,
Madeenathul-uloom Educational And Charitable Trust,NGOs,
Markazu Ihyail Fikril Islami Institute,NGOs,
Moulana Ali Miyan Nadwi Educational and Charitable Trust,NGOs,
The Foundation for Advancing Development Integration,NGOs,
AS-SALAM EDUCATIONAL CENTRE,NGOs,
Assanabil Foundation,NGOs,
Kandil Development and Aid Association (Kandil KalkÄ±nma ve YardÄ±mlaÅma DerneÄi),NGOs,
Mindanao Modern Education and Development Foundation,NGOs,
ONG Arpieca,NGOs,
Association Marhama,NGOs,
Self Help Africa,NGOs,
Durrell Wildlife Conservation Trust,NGOs,
Afghanischer Arzteverein in Deutschland e.V.,NGOs,
Hand by Hand Foundation,NGOs,
Action des Volontaires Unis pour le Développement et la Santé,NGOs,
Action pour la Promotion de lEnvironnement Social,NGOs,
Actions pour le Développement Intégral par la Conservation Communautaire,NGOs,
Association des Jeunes Islamiques pour le Développement,NGOs,
Synergie pour la lutte antimines,NGOs,
Solidarité Féminine pour la Paix et le Développement Intégral,NGOs,
CARITAS DEVELOPPEMENT MAHAGI-NIOKA,NGOs,
Caritas Kasongo,NGOs,
Association rwandaise des conseillers en traumatisme,NGOs,
Hôpital de la Charité d'Oulan-Bator,NGOs,
Food for the Poor,NGOs,
Humanitäre Hilfe für,NGOs,
Next Step Productions,NGOs,
SaferAfrica,NGOs,
Africa Educational Trust,NGOs,
Lichtbrücke e.V,NGOs,
Palestine Solidarity Organisation in Sweden,NGOs,
Tibet House Trust,NGOs,
AWWD,NGOs,
Charitable Development Association,NGOs,
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,NGOs,
AH Dames Suisse,NGOs,
Japan Overseas Cooperation Volunteers,NGOs,
German Doctors for Developing Countries,NGOs,
World Animal Protection,NGOs,
Halo Partnership,NGOs,
Physicians for Human Rights,NGOs,
International Crisis Group,NGOs,
Kenya Land Alliance,NGOs,
"Société Axis, Centre orthopédique d'Assomption",NGOs,
ACT Alliance / Ethiopian Orthodox Church,NGOs,
Emergency Relief International,NGOs,
Qandil Swedish Humanitarian Aid Organization,NGOs,
JCS - Joint Christian Services,NGOs,
Hilfsgemeinschaft Lippe e.V,NGOs,
Haukari e.V,NGOs,
Victims of Torture,NGOs,
Agency for rehabilitation and Energy-Conservation in Afghanistan,NGOs,
Monitoring Evaluation And Training Agency,NGOs,
Kinder brauchen uns e.V,NGOs,
Helfende Hände e.V.,NGOs,
Balkanactive van de gemeenten,NGOs,
Hilfe fur Kinder in Not e.V,NGOs,
Sezam,NGOs,
Werkgroep Nederland Srebrenica,NGOs,
Lutherischer Weltbund Deutsches Nationalkomitee,NGOs,
Hammer Forum e.V,NGOs,
Danish People's Relief Association,NGOs,
Rape Crisis Centre,NGOs,
International Commission on Missing Persons,NGOs,
Centre palestinien des droits de l'homme,NGOs,
Four Homes of Mercy,NGOs,
Las Dignas,NGOs,
Canadian Development and Peace,NGOs,
Mediothek für Afghanistan e.V,NGOs,
Tamil Rehabilitation Organisation,NGOs,
International Relief Teams,NGOs,
EXNORA,NGOs,
Saúde em Português,NGOs,
SOS Malta,NGOs,
Danish Refugee Board,NGOs,
Scottish Catholic International Aid Fund,NGOs,
Heart Doctors,NGOs,
European Perspective,NGOs,
PHRO - Palestinian Human Rights Organisation,NGOs,
ROPKA International,NGOs,
OCAPROCE,NGOs,
Disaster Mitigation Institute,NGOs,
American Center for International Labor,NGOs,
Aide et Action,NGOs,
World Vision El Salvador,NGOs,
Health Partners International Canada,NGOs,
Gifts in kind International,NGOs,
Afghanistan-Hilfe e.V.,NGOs,
Crisis Management Initiative,NGOs,
European Centre for Conflict Prevention,NGOs,
Coalition for International Justice,NGOs,
Centre de Réflexion Europe Afrique,NGOs,
Help the Aged,NGOs,
Douleurs san Frontières,NGOs,
SurfAid,NGOs,
Handicap International France,NGOs,
WSP International,NGOs,
WODRANS - Women Orphans and Disabled Rehabilitation Assoc. of New Sudan,NGOs,
Oeuvres hospitalières françaises de l'Ordre de Malte,NGOs,
GORTA,NGOs,
South Sudanese Development Organization,NGOs,
Tear Australia,NGOs,
"Liberia Dujar Association, Sweden",NGOs,
Operation USA,NGOs,
American Jewish World Service,NGOs,
International Aid,NGOs,
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs,
INMED Partnership for Children,NGOs,
Baptist World Aid,NGOs,
World Hope International,NGOs,
Refugees International,NGOs,
Self Employment Womens' Association,NGOs,
Danish International Life Saving Association,NGOs,
International Development and Relief Foundation,NGOs,
Canadian Food for the Hungry International,NGOs,
HIVOS,NGOs,
CRIC - Centro Regionale di Intervento per la Cooperazione,NGOs,
Greek Committee For International Democratic Solidarity,NGOs,
Mine Action Canada,NGOs,
SOS Faim,NGOs,
TIRUS - Maluku network of NGOs,NGOs,
Swedish Lutheran Aid,NGOs,
Healthnet International - Malaria Leishmaniasis Control Programme,NGOs,
World Jewish Aid,NGOs,
United Way International,NGOs,
Voluntary Service Overseas,NGOs,
ACT Alliance / Amity Foundation,NGOs,
Flüchtlingshilfe Langen e.V.,NGOs,
Partage,NGOs,
Un Enfant Par La Main,NGOs,
Emmaüs International,NGOs,
Guilde du Raid,NGOs,
Enfants et Développement,NGOs,
National Peace Corps Association,NGOs,
Project HOPE,NGOs,
Caritas India,NGOs,
"Association for Cooperation, Interchange and Culture",NGOs,
Swiss Centre for International Health,NGOs,
CARAES,NGOs,
EuronAid,NGOs,
Lighthouse Association,NGOs,
Association of Medical Doctors of Asia International,NGOs,
Primate's World Relief and Development Fund,NGOs,
ACT Alliance / Christian Aid Ministries Nehemia,NGOs,
People in Peril,NGOs,
ASUR - Appui aux populations déplacées,NGOs,
AMICA e.V,NGOs,
UNICEF National Committee/Canada,NGOs,
Verein zur Unterstützung von Schulen für afgh. Flüchtlingskinder e.V,NGOs,
Australian Aid International,NGOs,
Atlas Logistique,NGOs,
International Development Law Organisation,NGOs,
Africa Directo,NGOs,
"Health, Development, Information and Policy Institute",NGOs,
SOS-Barnbyar Sweden,NGOs,
Kristna Freds,NGOs,
Landmine Survivors Network,NGOs,
CDA Collaborative Learning Projects. Inc.,NGOs,
Abundant Life Church,NGOs,
Green Hope,NGOs,
CISANET/CSCQBE/MEJN,NGOs,
Associazione Italiana Amici di Raoul Follereau,NGOs,
Rawa Association,NGOs,
Rehabilitation and Research Centre for Torture Victims,NGOs,
Holistic Management,NGOs,
EQUIP Liberia,NGOs,
The Swedish Fellowship of Reconciliation,NGOs,
Children's Relief,NGOs,
Norske Menneskerettighetsfond,NGOs,
Norske Pinsemenigheters Ytremisjon,NGOs,
Medicos en catastrofe (MEC),NGOs,
Islamic African Relief Agency,NGOs,
Education Action International,NGOs,
ChildFund Ireland,NGOs,
Inuit Circumpolar Conference,NGOs,
Development Education Network for Liberia,NGOs,
Alive and kicking,NGOs,
Planeta,NGOs,
Voluntariado Internacional para o Desenvolvimento Africano,NGOs,
Danish Refugee Council/ICVA,NGOs,
Association pour la Santé Familiale (ASF),NGOs,
Antenna Technologies Grands Lacs (ATGL),NGOs,
Bureau des Åuvres médicales diocésaines (BDOM),NGOs,
"DOCS HEAL AFRICA, Goma",NGOs,
Alternative/SCF-UK,NGOs,
Nile People's Peace Conference,NGOs,
Service Social International,NGOs,
Federation des ONG laiques í  Vocation Economique du Congo,NGOs,
"Erikshjälpen, Sweden",NGOs,
Children Assistance Programme,NGOs,
PUMP AID,NGOs,
Parliamentarians for Global Action,NGOs,
Initiative Congolaise pour la Gestion autonome des populations,NGOs,
SOCIETE DE COOPERATION POUR LE DEVELOPPEMENT DE FIZI  (SOCOODEFI),NGOs,
Swedish Refugee Aid,NGOs,
Armenian Relief Society,NGOs,
Hope for the Horn,NGOs,
Pastoralist Concern Association Ethiopia,NGOs,
Ethiopian Muslims Relief and Development Association,NGOs,
Magen David Adom,NGOs,
Arcenciel,NGOs,
Community Technology Development Trust,NGOs,
Community Development Trust,NGOs,
Firemen without Borders,NGOs,
Glencree Centre for Peace and Reconciliation,NGOs,
Landmine Action,NGOs,
Deniz Feneri Association,NGOs,
Turkish Kidney Foundation,NGOs,
Istanbul International Brotherhood and Assistance Association,NGOs,
WA-UK,NGOs,
Indivduell Mí nniskohjí lp - Swedish NGO,NGOs,
Seestern e.V.,NGOs,
Christian Children's Fund  / Adventis Development And Relief Agency,NGOs,
Swedish Alliance Mission,NGOs,
VETAID,NGOs,
Det norske Misjonsforbund,NGOs,
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs,
Cleared Ground Demining Ltd.,NGOs,
Canada International Demining Corps,NGOs,
HEALTH UNLIMITED,NGOs,
asociacion para la cooperacion con el sur,NGOs,
ASASE,NGOs,
Bureau Diocésain de Développement de Kindu (BDD/KINDU),NGOs,
CEMUBAC (Belgian medical NGO),NGOs,
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),NGOs,
Association pour la protection de l'enfant de la guerre,NGOs,
ALDHU - Latin American Association for Human Rights,NGOs,
Palestinakomiteen i Norge,NGOs,
ROKPA,NGOs,
Solidarites-Belgium,NGOs,
Association Internationale des Soldats de la Paix,NGOs,
Custodia Franciscana en Tierra Santa,NGOs,
Trosgnistans Mission,NGOs,
CRAFOD,NGOs,
Intl Humanitarian Org World View,NGOs,
Docs Heal Africa,NGOs,
Enfants des rizières,NGOs,
International Partnership for Human Development,NGOs,
ACT Alliance / Diakonie Austria,NGOs,
Wadi,NGOs,
American Council for Voluntary International Action,NGOs,
KFUK/KFUM,NGOs,
AQUADEV,NGOs,
Jairos Jiri Association,NGOs,
St. Josephs Care and Support Trust at Sizanani Village,NGOs,
Horizonte Logico,NGOs,
Human Rights Watch,NGOs,
Centro d'Informazione e Educazione allo Sviluppo,NGOs,
Africa Muslims Agency (Johannesburg),NGOs,
African Rescue Committee,NGOs,
Humanitarian Action for Relief and Development Organisation,NGOs,
Swedish Covenant Mission,NGOs,
Association française pour la prévention des catastrophes naturelles,NGOs,
Al Zubair Charity Organisation,NGOs,
AGROSPHERE,NGOs,
The Sisters of Charity,NGOs,
Sudan Social Development Organization,NGOs,
"Central Asian Free Exchange, USA",NGOs,
"Joint Development Associates, USA",NGOs,
Oxfam India,NGOs,
Project Aparajita - VHAI,NGOs,
Concern India,NGOs,
Taiwan Grassroots Women Workers' Centre,NGOs,
Refugee Trust,NGOs,
Blés du désert,NGOs,
Berkat,NGOs,
Civic Assistance Committee,NGOs,
Aviation Sans Frontieres France,NGOs,
Alnour Wal Amal Association,NGOs,
Chars Livelihoods Programme,NGOs,
Aerzte für die Dritte Welt,NGOs,
Association Luxembourg Pérou,NGOs,
Christian Friends of Korea,NGOs,
Medical Assistance Programs International,NGOs,
DROPS,NGOs,
World Vision Angola,NGOs,
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs,
SIM Canada,NGOs,
World Vision Hong Kong,NGOs,
De Norske Pinsemenigheters Ytremisjon,NGOs,
CENTER FOR JUSTICE AND INT. LAW,NGOs,
Samusocial Peru,NGOs,
Citizens Network for Foreign Affairs,NGOs,
Commission d'Entraide pour les Migrants et les Refugies International,NGOs,
Agence d'Assistance aux Rapatries et Refugies au Congo,NGOs,
Psykisk Helsevern ístfold HF v/ Norum,NGOs,
Colombia Campaign to Ban Landmines,NGOs,
Barneombudet,NGOs,
Skeiv Solidaritet,NGOs,
Evangelical Children Rehabilitation Programme,NGOs,
Alola Foundation,NGOs,
Light Force International,NGOs,
Lion Aid,NGOs,
Humanitarian Aid Relief Trust,NGOs,
Women for Women International,NGOs,
GEAD,NGOs,
OCHA NGO Funds,NGOs,
Verein Lichtblick,NGOs,
Italian Consortium of Solidarity,NGOs,
Sada Al Irak Organisation,NGOs,
Charitable Society for Caring and Rehabilitation Iraqi Children,NGOs,
Tammuz Organizataion for Social Development,NGOs,
Democratic Iraqi Women Group,NGOs,
New Iraqi Woman Organization,NGOs,
Child's Earth Society in Iraq,NGOs,
Human Right Center in Iraq,NGOs,
Disabled Children's Care Organization,NGOs,
Shining Future Humanitarian Organization,NGOs,
Knowledge for Iraqi Women Society,NGOs,
"Paradigm of Consciousness Ministries, Inc.",NGOs,
Catholic Commisssion for Justice and Peace,NGOs,
CINS -  Cooperazione Italiana Nord Sud,NGOs,
CARE and SC/US,NGOs,
Youth Alliance in Karamoja,NGOs,
African Child Outreach Trust,NGOs,
Visions in Action,NGOs,
Temele Development Organisation,NGOs,
MANNA,NGOs,
Children's Fund of North Ossetia,NGOs,
Somali Education and Health Organisation,NGOs,
OXFAM Hong Kong,NGOs,
Iraqi Youth League,NGOs,
Himalayan Human Rights Monitors,NGOs,
"Institute of Human Rights Communication, Nepal",NGOs,
Global Resource Services,NGOs,
Miloserdie (Mercy),NGOs,
Hunger Alert,NGOs,
Hadia Medical,NGOs,
Sovereign Military Order of Malta,NGOs,
Home for Human Rights,NGOs,
SOLIDAR INGO CONSORTIUM,NGOs,
Global Rights,NGOs,
Impact Forum Norway,NGOs,
AGEF,NGOs,
Community Trust Fund,NGOs,
CARITAS TCHUMBE,NGOs,
Action pour le Développement Intégral au Kivu,NGOs,
ASSOCIATION MEDICALE FRANCO-ASIATIQUE,NGOs,
Candle Light,NGOs,
ABC Children's Aid,NGOs,
Front Line,NGOs,
FED. I. D. Ligues/Droits l'homme,NGOs,
African Commission Human and People's Rights,NGOs,
Documentation Center of  Cambodia,NGOs,
The Bridge Fund,NGOs,
Defense for Children International,NGOs,
Just Associates,NGOs,
Campagne Suisse Contre les Mines Antipersonnel,NGOs,
Transparencia Venezuela,NGOs,
Arts for Peace,NGOs,
Volens,NGOs,
Hopital sans Frontières,NGOs,
Center for Human Rights and Democratic Participation,NGOs,
European Children's Trust,NGOs,
Avocats Sans Frontieres,NGOs,
Ba Futuru / For The Future,NGOs,
IDE Myanmar,NGOs,
Comision Espanôla de Ayuda al Refugiado,NGOs,
Right to Live Society,NGOs,
Linkage Trust,NGOs,
SAACID,NGOs,
ADRA/SCDO,NGOs,
Avenir pour les orphelins au Burundi,NGOs,
Action pour le Bien Etre Communautaire (ABC),NGOs,
Armée du salut,NGOs,
CARITAS Mbandaka,NGOs,
Unity and Cooperation for the Development of People,NGOs,
Plan Timor-Leste,NGOs,
CHA - Coordination of Humanitarian Assistance,NGOs,
Somali Community Literacy Center,NGOs,
Janus e.V,NGOs,
Thirst No More,NGOs,
AMURT (Ananda Marga Universal Relief Team) (Switzerland),NGOs,
FGMed,NGOs,
Sudan Aid,NGOs,
Sawaid Health Organization,NGOs,
Indesch Patenschaften,NGOs,
China Centre for Disease Control and Â Asia-Australia Mental Health,NGOs,
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs,
Vereniging voor Personele Samenwerking Ontwikkelings-landen,NGOs,
TrainAid International,NGOs,
International Human Rights Law Group,NGOs,
InterAct,NGOs,
International Humanitarian Service,NGOs,
